"";"Rank";"Altleta";"Pais";"Round1";"Round2";"RoundTotal";"Dez";"X";"Nove";"WorldRanking";"Prop.Dez";"Prop.X";"Prop.Nove";"Real";"PontosCombates";"RegLog.Prob";"Estimado"
"53";53;"REZENDE XAVIER Daniel";"Brazil";318;321;639;19;6;31;43200;0,26;0,08;0,39;0;0;0,00210250755250214;0
"54";54;"PIIPPO Samuli";"Finland";317;319;636;19;6;30;58000;0,26;0,08;0,38;0;0;0,00103995466995572;0
"55";55;"NOR HASRIN Muhammad Akmal";"Malaysia";314;321;635;19;6;30;18950;0,26;0,08;0,38;0;0;0,000753952416559818;0
"56";56;"ELDER Robert";"Fiji";313;322;635;19;2;33;24650;0,26;0,03;0,41;0;0;0,000147130266577326;0
"57";57;"KOUASSI Rene Philippe";"Cote d Ivoire";315;319;634;22;8;25;13800;0,31;0,11;0,31;0;0;0,000857888737249265;0
"58";58;"DIELEMANS Mitch";"Netherlands";310;324;634;20;5;33;69900;0,28;0,07;0,41;0;0;9,92462868694759e-05;0
"59";59;"BALAZ Boris";"Slovakia";320;311;631;18;4;27;24200;0,25;0,06;0,34;0;0;0,000611828292620973;0
"60";60;"MUKTAN Jitbahadur";"Nepal";299;308;607;12;4;25;0;0,17;0,06;0,31;0;0;1,20574184278672e-05;0
"61";61;"JENSEN Arne";"Tonga";300;304;604;11;3;26;0;0,15;0,04;0,33;0;0;4,11919619228654e-06;0
"62";62;"DAVID Areneo";"Malawi";292;311;603;17;3;17;0;0,24;0,04;0,21;0;0;2,28999486122199e-06;0
"63";63;"EL GHRARI Ali";"Libya";286;282;568;11;3;21;0;0,15;0,04;0,26;0;0;2,36916321858073e-10;0
"64";64;"SUTHERLAND Gavin";"Zimbabwe";279;287;566;7;0;14;29000;0,1;0;0,18;0;0;3,33428133732434e-09;0
